ensg_id	gene_name	biotype	tissue	cumulative.expression
ENSG00000198727.2	MT-CYB	protein_coding	Adipose tissue	0.02945
ENSG00000198763.3	MT-ND2	protein_coding	Adipose tissue	0.05724
ENSG00000198888.2	MT-ND1	protein_coding	Adipose tissue	0.08493
ENSG00000198712.1	MT-CO2	protein_coding	Adipose tissue	0.11209
ENSG00000198804.2	MT-CO1	protein_coding	Adipose tissue	0.13673
ENSG00000198840.2	MT-ND3	protein_coding	Adipose tissue	0.15224
ENSG00000210082.2	J01415.4	smallRNA	Adipose tissue	0.16447
ENSG00000087086.7	FTL	protein_coding	Adipose tissue	0.17544
ENSG00000170323.4	FABP4	protein_coding	Adipose tissue	0.18329
ENSG00000198695.2	MT-ND6	protein_coding	Adipose tissue	0.18985
ENSG00000225630.1	MTND2P28	pseudogene	Adipose tissue	0.19597
ENSG00000198786.2	MT-ND5	protein_coding	Adipose tissue	0.2019
ENSG00000211445.5	GPX3	protein_coding	Adipose tissue	0.20711
ENSG00000229344.1	RP5-857K21.7	pseudogene	Adipose tissue	0.211
ENSG00000075624.8	ACTB	protein_coding	Adipose tissue	0.21467
ENSG00000225972.1	MTND1P23	pseudogene	Adipose tissue	0.2183
ENSG00000142534.1	RPS11	protein_coding	Adipose tissue	0.22177
ENSG00000177600.4	RPLP2	protein_coding	Adipose tissue	0.22519
ENSG00000231500.2	RPS18	protein_coding	Adipose tissue	0.22852
ENSG00000133112.12	TPT1	protein_coding	Adipose tissue	0.23184
ENSG00000167996.10	FTH1	protein_coding	Adipose tissue	0.23513
ENSG00000234961.1	RP11-124N14.3	lncRNA	Adipose tissue	0.23808
ENSG00000117289.7	TXNIP	protein_coding	Adipose tissue	0.24099
ENSG00000108298.4	RPL19	protein_coding	Adipose tissue	0.2438
ENSG00000211459.2	J01415.24	smallRNA	Adipose tissue	0.2465
ENSG00000112306.7	RPS12	protein_coding	Adipose tissue	0.24912
ENSG00000196205.7	EEF1A1P5	pseudogene	Adipose tissue	0.25168
ENSG00000026025.8	VIM	protein_coding	Adipose tissue	0.25418
ENSG00000161970.7	RPL26	protein_coding	Adipose tissue	0.25659
ENSG00000205542.6	TMSB4X	protein_coding	Adipose tissue	0.25887
ENSG00000189058.4	APOD	protein_coding	Adipose tissue	0.26106
ENSG00000256545.1	AL139819.1	pseudogene	Adipose tissue	0.26322
ENSG00000137818.7	RPLP1	protein_coding	Adipose tissue	0.26525
ENSG00000131469.7	RPL27	protein_coding	Adipose tissue	0.26728
ENSG00000143947.8	RPS27A	protein_coding	Adipose tissue	0.26924
ENSG00000196616.7	ADH1B	protein_coding	Adipose tissue	0.27119
ENSG00000034510.4	TMSB10	protein_coding	Adipose tissue	0.27309
ENSG00000167658.9	EEF2	protein_coding	Adipose tissue	0.27497
ENSG00000184009.3	ACTG1	protein_coding	Adipose tissue	0.27682
ENSG00000101335.5	MYL9	protein_coding	Adipose tissue	0.27862
ENSG00000197766.1	CFD	protein_coding	Adipose tissue	0.2804
ENSG00000147403.12	RPL10	protein_coding	Adipose tissue	0.28213
ENSG00000235174.1	RPL39P3	pseudogene	Adipose tissue	0.28386
ENSG00000100234.9	TIMP3	protein_coding	Adipose tissue	0.28558
ENSG00000259716.1	RP5-977B1.11	lncRNA	Adipose tissue	0.28727
ENSG00000113140.6	SPARC	protein_coding	Adipose tissue	0.28895
ENSG00000099194.4	SCD	protein_coding	Adipose tissue	0.29062
ENSG00000232573.1	RPL3P4	pseudogene	Adipose tissue	0.29227
ENSG00000236552.1	RPL13AP5	pseudogene	Adipose tissue	0.29391
ENSG00000244398.1	RP11-466H18.1	pseudogene	Adipose tissue	0.29553
ENSG00000213442.4	RPL18AP3	pseudogene	Adipose tissue	0.29715
ENSG00000227081.4	RP11-543P15.1	pseudogene	Adipose tissue	0.29875
ENSG00000105193.3	RPS16	protein_coding	Adipose tissue	0.3003
ENSG00000165507.7	C10orf10	protein_coding	Adipose tissue	0.30185
ENSG00000089157.11	RPLP0	protein_coding	Adipose tissue	0.30337
ENSG00000156508.12	EEF1A1	protein_coding	Adipose tissue	0.30488
ENSG00000166710.11	B2M	protein_coding	Adipose tissue	0.30636
ENSG00000083845.3	RPS5	protein_coding	Adipose tissue	0.30784
ENSG00000161016.10	RPL8	protein_coding	Adipose tissue	0.3093
ENSG00000142541.10	RPL13A	protein_coding	Adipose tissue	0.31077
ENSG00000100316.11	RPL3	protein_coding	Adipose tissue	0.31224
ENSG00000197956.4	S100A6	protein_coding	Adipose tissue	0.31369
ENSG00000142089.9	IFITM3	protein_coding	Adipose tissue	0.31511
ENSG00000100097.7	LGALS1	protein_coding	Adipose tissue	0.31654
ENSG00000183531.1	Z98256.1	pseudogene	Adipose tissue	0.31794
ENSG00000110700.2	RPS13	protein_coding	Adipose tissue	0.31933
ENSG00000135821.10	GLUL	protein_coding	Adipose tissue	0.32069
ENSG00000204592.5	HLA-E	protein_coding	Adipose tissue	0.32202
ENSG00000137154.8	RPS6	protein_coding	Adipose tissue	0.32333
ENSG00000187288.6	CIDEC	protein_coding	Adipose tissue	0.32463
ENSG00000232856.2	AC008038.1	protein_coding	Adipose tissue	0.32592
ENSG00000115268.3	RPS15	protein_coding	Adipose tissue	0.32719
ENSG00000123689.5	G0S2	protein_coding	Adipose tissue	0.32847
ENSG00000166819.7	PLIN1	protein_coding	Adipose tissue	0.32973
ENSG00000019582.10	CD74	protein_coding	Adipose tissue	0.33099
ENSG00000177666.11	PNPLA2	protein_coding	Adipose tissue	0.33223
ENSG00000257309.1	RP11-603J24.18	lncRNA	Adipose tissue	0.33348
ENSG00000141753.5	IGFBP4	protein_coding	Adipose tissue	0.33472
ENSG00000111640.8	GAPDH	protein_coding	Adipose tissue	0.33595
ENSG00000120129.4	DUSP1	protein_coding	Adipose tissue	0.33718
ENSG00000234851.3	RP11-3P17.3	pseudogene	Adipose tissue	0.33839
ENSG00000152583.7	SPARCL1	protein_coding	Adipose tissue	0.33961
ENSG00000163453.6	IGFBP7	protein_coding	Adipose tissue	0.34081
ENSG00000150991.9	UBC	protein_coding	Adipose tissue	0.34201
ENSG00000128016.3	ZFP36	protein_coding	Adipose tissue	0.34321
ENSG00000148671.7	C10orf116	protein_coding	Adipose tissue	0.3444
ENSG00000174444.9	RPL4	protein_coding	Adipose tissue	0.34557
ENSG00000108518.7	PFN1	protein_coding	Adipose tissue	0.34673
ENSG00000118181.5	RPS25	protein_coding	Adipose tissue	0.34789
ENSG00000173432.6	SAA1	protein_coding	Adipose tissue	0.34904
ENSG00000233476.2	EEF1A1P6	pseudogene	Adipose tissue	0.35019
ENSG00000167468.10	GPX4	protein_coding	Adipose tissue	0.35133
ENSG00000137970.7	RP11-122C9.1	pseudogene	Adipose tissue	0.35247
ENSG00000234745.3	HLA-B	protein_coding	Adipose tissue	0.35359
ENSG00000197746.7	PSAP	protein_coding	Adipose tissue	0.3547
ENSG00000125148.6	MT2A	protein_coding	Adipose tissue	0.35581
ENSG00000143878.8	RHOB	protein_coding	Adipose tissue	0.3569
ENSG00000227097.4	RP11-742N3.1	pseudogene	Adipose tissue	0.35798
ENSG00000215472.3	RPL17	protein_coding	Adipose tissue	0.35903
ENSG00000250610.1	RP11-738E22.2	lncRNA	Adipose tissue	0.36005
ENSG00000087086.7	FTL	protein_coding	Fibroblasts	0.02576
ENSG00000198763.3	MT-ND2	protein_coding	Fibroblasts	0.04501
ENSG00000198712.1	MT-CO2	protein_coding	Fibroblasts	0.06372
ENSG00000198804.2	MT-CO1	protein_coding	Fibroblasts	0.08108
ENSG00000115414.13	FN1	protein_coding	Fibroblasts	0.09773
ENSG00000198888.2	MT-ND1	protein_coding	Fibroblasts	0.11386
ENSG00000198727.2	MT-CYB	protein_coding	Fibroblasts	0.12596
ENSG00000167996.10	FTH1	protein_coding	Fibroblasts	0.13518
ENSG00000198840.2	MT-ND3	protein_coding	Fibroblasts	0.14208
ENSG00000075624.8	ACTB	protein_coding	Fibroblasts	0.14895
ENSG00000210082.2	J01415.4	smallRNA	Fibroblasts	0.15539
ENSG00000231500.2	RPS18	protein_coding	Fibroblasts	0.16071
ENSG00000198786.2	MT-ND5	protein_coding	Fibroblasts	0.16571
ENSG00000034510.4	TMSB10	protein_coding	Fibroblasts	0.1704
ENSG00000198695.2	MT-ND6	protein_coding	Fibroblasts	0.17492
ENSG00000234961.1	RP11-124N14.3	lncRNA	Fibroblasts	0.17858
ENSG00000133112.12	TPT1	protein_coding	Fibroblasts	0.18203
ENSG00000112306.7	RPS12	protein_coding	Fibroblasts	0.18546
ENSG00000125148.6	MT2A	protein_coding	Fibroblasts	0.18887
ENSG00000196205.7	EEF1A1P5	pseudogene	Fibroblasts	0.19215
ENSG00000163661.3	PTX3	protein_coding	Fibroblasts	0.19534
ENSG00000184009.3	ACTG1	protein_coding	Fibroblasts	0.19851
ENSG00000111640.8	GAPDH	protein_coding	Fibroblasts	0.20157
ENSG00000205542.6	TMSB4X	protein_coding	Fibroblasts	0.20451
ENSG00000026025.8	VIM	protein_coding	Fibroblasts	0.20744
ENSG00000197956.4	S100A6	protein_coding	Fibroblasts	0.21035
ENSG00000142534.1	RPS11	protein_coding	Fibroblasts	0.21323
ENSG00000137818.7	RPLP1	protein_coding	Fibroblasts	0.21608
ENSG00000089157.11	RPLP0	protein_coding	Fibroblasts	0.21879
ENSG00000131469.7	RPL27	protein_coding	Fibroblasts	0.22134
ENSG00000161970.7	RPL26	protein_coding	Fibroblasts	0.22387
ENSG00000108298.4	RPL19	protein_coding	Fibroblasts	0.22637
ENSG00000105372.1	RPS19	protein_coding	Fibroblasts	0.22884
ENSG00000211459.2	J01415.24	smallRNA	Fibroblasts	0.23119
ENSG00000142156.9	COL6A1	protein_coding	Fibroblasts	0.23353
ENSG00000167658.9	EEF2	protein_coding	Fibroblasts	0.23579
ENSG00000164692.12	COL1A2	protein_coding	Fibroblasts	0.23803
ENSG00000177600.4	RPLP2	protein_coding	Fibroblasts	0.24022
ENSG00000143947.8	RPS27A	protein_coding	Fibroblasts	0.24238
ENSG00000213442.4	RPL18AP3	pseudogene	Fibroblasts	0.24444
ENSG00000108518.7	PFN1	protein_coding	Fibroblasts	0.24649
ENSG00000083845.3	RPS5	protein_coding	Fibroblasts	0.24847
ENSG00000142173.10	COL6A2	protein_coding	Fibroblasts	0.25037
ENSG00000235174.1	RPL39P3	pseudogene	Fibroblasts	0.25223
ENSG00000156508.12	EEF1A1	protein_coding	Fibroblasts	0.25401
ENSG00000167460.9	TPM4	protein_coding	Fibroblasts	0.25574
ENSG00000168542.8	COL3A1	protein_coding	Fibroblasts	0.25742
ENSG00000140988.10	RPS2	protein_coding	Fibroblasts	0.25908
ENSG00000161016.10	RPL8	protein_coding	Fibroblasts	0.26074
ENSG00000105193.3	RPS16	protein_coding	Fibroblasts	0.26237
ENSG00000110700.2	RPS13	protein_coding	Fibroblasts	0.26396
ENSG00000233476.2	EEF1A1P6	pseudogene	Fibroblasts	0.26556
ENSG00000108821.8	COL1A1	protein_coding	Fibroblasts	0.26713
ENSG00000163191.5	S100A11	protein_coding	Fibroblasts	0.2687
ENSG00000244398.1	RP11-466H18.1	pseudogene	Fibroblasts	0.27026
