gene_id	gene_name	GeneGroup	chr	escape X inactivation	coeff	BH			
ENSG00000129824.9	RPS4Y1	protein_coding	chrY	NA	-8.406336815	2.85E-204			
ENSG00000067048.11	DDX3Y	protein_coding	chrY	NA	-6.807994488	2.03E-184			
ENSG00000012817.10	KDM5D	protein_coding	chrY	NA	-6.758261871	1.46E-192			
ENSG00000198692.5	EIF1AY	protein_coding	chrY	NA	-5.59127869	5.53E-184			
ENSG00000131002.6	CYorf15B	protein_coding	chrY	NA	-5.228076648	7.47E-156			
ENSG00000114374.8	USP9Y	protein_coding	chrY	NA	-5.04617437	2.55E-169			
ENSG00000099749.8	CYorf15A	protein_coding	chrY	NA	-4.700771709	5.93E-157			
ENSG00000183878.11	UTY	protein_coding	chrY	NA	-4.640976041	1.19E-163			
ENSG00000067646.7	ZFY	protein_coding	chrY	NA	-4.300929551	4.29E-158			
ENSG00000260197.1	RP11-424G14.1	lncRNA	chrY	NA	-3.846407573	5.27E-128			
ENSG00000176728.3	TTTY14	lncRNA	chrY	NA	-3.400551428	3.18E-140			
ENSG00000233864.3	TTTY15	lncRNA	chrY	NA	-3.264340183	1.34E-132			
ENSG00000154620.5	TMSB4Y	protein_coding	chrY	NA	-3.018533448	2.37E-97			
ENSG00000165246.7	NLGN4Y	protein_coding	chrY	NA	-2.622448478	9.03E-93			
ENSG00000233070.1	ZFY-AS1	lncRNA	chrY	NA	-1.878302213	9.03E-93			
ENSG00000231535.1	LINC00278	lncRNA	chrY	NA	-1.637695391	4.80E-75			
ENSG00000229236.1	TTTY10	lncRNA	chrY	NA	-1.34288534	1.27E-75			
ENSG00000092377.8	TBL1Y	protein_coding	chrY	NA	-1.129390689	2.20E-65			
ENSG00000149968.7	MMP3	protein_coding	chr11	NA	-1.107007408	7.60E-05			
ENSG00000251037.1	AC006157.2	lncRNA	chrY	NA	-1.024045108	1.77E-61			
ENSG00000206159.5	GYG2P1	protein_coding	chrY	NA	-1.023015171	9.69E-57			
ENSG00000225490.1	RP4-610C12.3	lncRNA	chr20	NA	-0.955389657	1.32E-14			
ENSG00000184895.6	SRY	protein_coding	chrY	NA	-0.797925531	2.04E-47			
ENSG00000248395.1	AC007379.5	lncRNA	chrY	NA	-0.732081255	1.58E-27			
ENSG00000080007.6	DDX43	protein_coding	chr6	NA	-0.689309281	6.95E-09			
ENSG00000215580.4	BCORP1	lncRNA	chrY	NA	-0.625363136	2.30E-43			
ENSG00000099715.10	PCDH11Y	protein_coding	chrY	NA	-0.530171184	2.58E-20			
ENSG00000149531.9	FRG1B	protein_coding	chr20	NA	-0.480504582	1.88E-09			
ENSG00000143125.4	PROK1	protein_coding	chr1	NA	-0.455272832	0.026756761			
ENSG00000002586.12	CD99	protein_coding	PAR	YES	-0.425612964	5.96E-15			
ENSG00000205611.3	RP4-610C12.4	lncRNA	chr20	NA	-0.375073434	3.86E-08			
ENSG00000229308.1	AC010084.1	lncRNA	chrY	NA	-0.37346175	1.94E-21			
ENSG00000214717.4	ZBED1	protein_coding	PAR	YES	-0.358837754	1.91E-15			
ENSG00000101098.7	RIMS4	protein_coding	chr20	NA	-0.353653906	8.07E-07			
ENSG00000248421.1	RP11-325D5.3	lncRNA	PAR	NA	-0.351432897	4.55E-12			
ENSG00000179542.11	SLITRK4	protein_coding	chrX	NA	-0.342766422	0.000700863			
ENSG00000223346.1	RP11-348I14.4	lncRNA	chr20	NA	-0.333857109	9.18E-06			
ENSG00000227822.2	AC006370.2	lncRNA	chrY	NA	-0.325433741	2.56E-17			
ENSG00000163618.12	CADPS	protein_coding	chr3	NA	-0.317308028	0.000301702			
ENSG00000203907.5	OOEP	protein_coding	chr6	NA	-0.315642044	5.87E-05			
ENSG00000182162.5	P2RY8	protein_coding	PAR	NA	-0.301423101	0.001287704			
ENSG00000141449.8	GREB1L	protein_coding	chr18	NA	-0.280756633	0.004408255			
ENSG00000234194.1	RP4-781B1.2	lncRNA	chr20	NA	-0.266900399	0.001309607			
ENSG00000230663.1	LINC00230B	lncRNA	chrY	NA	-0.263329873	5.64E-19			
ENSG00000185149.5	NPY2R	protein_coding	chr4	NA	-0.260848572	0.008644484			
ENSG00000133105.3	RXFP2	protein_coding	chr13	NA	-0.239708575	0.000262244			
ENSG00000145244.7	CORIN	protein_coding	chr4	NA	-0.239100076	0.004818611			
ENSG00000115041.8	KCNIP3	protein_coding	chr2	NA	-0.227930413	0.001113116			
ENSG00000247516.2	RP11-480D4.3	lncRNA	chr5	NA	-0.227104066	0.010232619			
ENSG00000250538.1	RP11-92A5.2	lncRNA	chr4	NA	-0.215506438	0.010461075			
ENSG00000251510.1	AC022486.1	lncRNA	chrY	NA	-0.21387432	1.81E-09			
ENSG00000165566.11	FAM123A	protein_coding	chr13	NA	-0.208409354	7.92E-05			
ENSG00000169084.8	DHRSX	protein_coding	PAR	YES	-0.187364024	6.34E-05			
ENSG00000099721.9	AMELY	protein_coding	chrY	NA	-0.185945624	3.09E-19			
ENSG00000144278.10	GALNT13	protein_coding	chr2	NA	-0.182152343	0.009770288			
ENSG00000144339.7	TMEFF2	protein_coding	chr2	NA	-0.176413145	0.028524361			
ENSG00000166681.9	NGFRAP1	protein_coding	chrX	NO	-0.175247596	0.022464057			
ENSG00000225520.1	TTTY16	lncRNA	chrY	NA	-0.167813772	9.52E-10			
ENSG00000181938.9	GINS3	protein_coding	chr16	NA	-0.164322578	0.009770288			
ENSG00000231648.1	RP11-372M18.2	lncRNA	chr1	NA	-0.156834009	1.17E-06			
ENSG00000239204.1	AC002992.4	lncRNA	chrY	NA	-0.155223185	5.19E-09			
ENSG00000169093.10	ASMTL	protein_coding	PAR	YES	-0.153059997	0.006702307			
ENSG00000124334.10	IL9R	protein_coding	PAR	YES	-0.142921243	0.008437531			
ENSG00000115526.6	CHST10	protein_coding	chr2	NA	-0.139026513	0.0488425			
ENSG00000180438.10	TPRXL	protein_coding	chr3	NA	-0.122313209	0.005405546			
ENSG00000185053.8	SGCZ	protein_coding	chr8	NA	-0.121801969	0.001483499			
ENSG00000258743.1	RP11-406A9.2	lncRNA	chr14	NA	0.080985701	0.040233245			
ENSG00000167634.6	NLRP7	protein_coding	chr19	NA	0.084664595	0.016362417			
ENSG00000124557.7	BTN1A1	protein_coding	chr6	NA	0.113386817	0.001167335			
ENSG00000224513.2	AC109309.4	lncRNA	chr11	NA	0.114221483	0.03975357			
ENSG00000225037.1	EIF1AX-AS1	lncRNA	chrX	candidate	0.120176271	0.028524361			
ENSG00000234919.1	AC064834.3	lncRNA	chr2	NA	0.12599486	0.037789388			
ENSG00000181433.5	SAGE1	protein_coding	chrX	candidate	0.133937951	0.007581284			
ENSG00000130985.12	UBA1	protein_coding	chrX	candidate	0.136033986	0.001007434			
ENSG00000179148.4	ALOXE3	protein_coding	chr17	NA	0.137469814	0.045637317			
ENSG00000188175.5	HEPACAM2	protein_coding	chr7	NA	0.140143067	0.008211307			
ENSG00000234230.1	ZFX-AS1	lncRNA	chrX	candidate	0.145976372	0.000563574			
ENSG00000196459.8	TRAPPC2	protein_coding	chrX	candidate	0.148226305	0.003272177			
ENSG00000169435.9	RASSF6	protein_coding	chr4	NA	0.152642698	0.007798925			
ENSG00000235262.1	KDM5C-IT1	lncRNA	chrX	candidate	0.155555386	0.001993135			
ENSG00000046651.9	OFD1	protein_coding	chrX	YES	0.165837471	0.026651844			
ENSG00000231217.1	RP11-1M18.1	lncRNA	chrX	candidate	0.172039832	3.63E-05			
ENSG00000072501.11	SMC1A	protein_coding	chrX	candidate	0.187606965	6.56E-06			
ENSG00000169495.4	HTRA4	protein_coding	chr8	NA	0.192990579	0.026651844			
ENSG00000185436.7	IL28RA	protein_coding	chr1	NA	0.195764566	0.016798972			
ENSG00000073282.7	TP63	protein_coding	chr3	NA	0.195841308	0.034646028			
ENSG00000046647.9	GEMIN8	protein_coding	chrX	candidate	0.198793774	9.36E-06			
ENSG00000124343.7	XG	protein_coding	chrX	YES	0.199462736	0.02615997			
ENSG00000143297.14	FCRL5	protein_coding	chr1	NA	0.206989874	0.017598519			
ENSG00000186871.5	ERCC6L	protein_coding	chrX	candidate	0.21737085	3.34E-06			
ENSG00000169895.5	SYAP1	protein_coding	chrX	YES	0.228530391	6.55E-11			
ENSG00000214922.3	HLA-F-AS1	lncRNA	chr6	NA	0.230836095	0.00633945			
ENSG00000169239.8	CA5B	protein_coding	chrX	YES	0.23357996	0.000221496			
ENSG00000249096.1	RP11-290F5.1	lncRNA	chr4	NA	0.236326593	0.001993135			
ENSG00000110777.7	POU2AF1	protein_coding	chr11	NA	0.248837338	0.016798972			
ENSG00000070190.8	DAPP1	protein_coding	chr4	NA	0.254826535	0.026635691			
ENSG00000006756.11	ARSD	protein_coding	chrX	YES	0.260521883	0.000866389			
ENSG00000224975.1	INE1	protein_coding	chrX	YES	0.261925281	2.56E-05			
